id,semesterCode,studentNumber,courseCode,studentDepartment,addedOn,priority
570506,191,1330075,CSE311,42,2018-11-26 20:20:25,4
570518,191,1330075,CSE311L,42,2018-11-26 20:20:56,4
694513,191,1330075,ENG102,42,2019-01-03 17:38:34,1
704913,191,1330091,MAT120,42,2019-01-10 11:10:19,1
578742,191,1330316,CSE231,42,2018-11-27 14:59:35,1
578743,191,1330316,CSE231L,42,2018-11-27 14:59:35,1
578744,191,1330316,CSE311,42,2018-11-27 15:00:08,1
578741,191,1330316,MAT130,42,2018-11-27 14:59:06,1
701936,191,1330329,BUS172,42,2019-01-07 13:11:49,1
701935,191,1330329,ECO101,42,2019-01-07 13:11:03,1
685162,191,1330329,FIN435,42,2018-12-29 11:06:47,1
685160,191,1330329,FIN440,42,2018-12-29 11:06:32,1
638562,191,1330439,CSE173,42,2018-12-11 10:30:55,4
638569,191,1330439,MAT116,42,2018-12-11 10:31:52,1
653345,191,1330607,CSE311,42,2018-12-16 01:48:20,1
653348,191,1330607,EEE452,42,2018-12-16 01:49:33,1
653346,191,1330607,PHY108,42,2018-12-16 01:49:01,1
687350,191,1330671,PHY107,42,2018-12-30 20:00:39,1
648044,191,1330671,PHY108,42,2018-12-14 23:19:52,1
648895,191,1330863,CSE311,42,2018-12-15 10:38:29,1
648899,191,1330863,CSE311L,42,2018-12-15 10:38:42,1
648900,191,1330863,EEE111,42,2018-12-15 10:38:57,1
648901,191,1330863,EEE111L,42,2018-12-15 10:39:13,1
648904,191,1330863,PHY107L,42,2018-12-15 10:39:32,1
576006,191,1331026,CSE231,42,2018-11-27 00:44:01,1
576007,191,1331026,CSE231L,42,2018-11-27 00:44:01,1
576013,191,1331026,ENG105,42,2018-11-27 00:44:32,1
576010,191,1331026,MAT250,42,2018-11-27 00:44:13,1
692030,191,1410083,CSE115,42,2019-01-02 18:04:54,1
692033,191,1410083,CSE231,42,2019-01-02 18:05:43,1
692034,191,1410083,CSE231L,42,2019-01-02 18:05:43,1
692031,191,1410083,PHY108,42,2019-01-02 18:05:08,1
694594,191,1410083,PHY108L,42,2019-01-03 17:40:25,1
699570,191,1410083,POL101,42,2019-01-05 11:42:18,1
570465,191,1410095,CSE311,42,2018-11-26 20:19:12,1
674353,191,1410203,CSE231,42,2018-12-23 15:18:31,1
674354,191,1410203,CSE231L,42,2018-12-23 15:18:31,1
674356,191,1410203,MAT125,42,2018-12-23 15:19:10,1
674355,191,1410203,MAT130,42,2018-12-23 15:18:50,1
674350,191,1410203,PHY107,42,2018-12-23 15:14:15,1
592471,191,1410213,CSE231,42,2018-11-30 15:50:16,1
592472,191,1410213,CSE231L,42,2018-11-30 15:50:16,1
592474,191,1410213,CSE273,42,2018-11-30 15:51:00,1
592473,191,1410213,MAT130,42,2018-11-30 15:50:35,1
592480,191,1410213,PHY107,42,2018-11-30 15:53:00,1
592481,191,1410213,PHY107L,42,2018-11-30 15:53:00,1
694946,191,1410309,ENG102,42,2019-01-03 17:55:13,1
639628,191,1410309,MAT116,42,2018-12-11 22:02:46,1
639630,191,1410309,MAT120,42,2018-12-11 22:03:11,1
639636,191,1410309,MAT130,42,2018-12-11 22:04:24,1
639637,191,1410309,PBH101,42,2018-12-11 22:04:32,1
634253,191,1410396,CSE273,42,2018-12-09 21:11:57,1
634250,191,1410396,ECO101,42,2018-12-09 21:11:37,1
684308,191,1410396,ENG105,42,2018-12-28 20:23:19,1
632868,191,1410497,CSE273,42,2018-12-09 14:22:30,1
610369,191,1410705,CSE231,42,2018-12-04 20:03:23,1
610370,191,1410705,CSE231L,42,2018-12-04 20:03:23,1
610373,191,1410705,CSE273,42,2018-12-04 20:04:32,1
697368,191,1410705,EEE141,42,2019-01-04 01:03:13,1
697369,191,1410705,EEE141L,42,2019-01-04 01:03:13,1
610388,191,1410705,PHY108,42,2018-12-04 20:07:10,1
697367,191,1410705,PHY108L,42,2019-01-04 01:02:22,1
685098,191,1410866,CSE225,42,2018-12-29 09:34:35,1
685099,191,1410866,CSE225L,42,2018-12-29 09:34:36,1
685097,191,1410866,EEE141,42,2018-12-29 09:33:57,1
699906,191,1410915,CSE225,42,2019-01-05 16:28:22,1
699907,191,1410915,CSE225L,42,2019-01-05 16:28:22,1
699920,191,1410915,CSE299,42,2019-01-05 16:39:38,1
699927,191,1410915,HIS102,42,2019-01-05 16:43:58,1
699903,191,1410915,HIS103,42,2019-01-05 16:22:25,1
699910,191,1410915,PHI104,42,2019-01-05 16:32:10,1
689759,191,1410964,CSE231,42,2019-01-01 16:42:39,1
689760,191,1410964,CSE231L,42,2019-01-01 16:42:39,1
646373,191,1410964,EEE111,42,2018-12-14 16:09:49,1
646374,191,1410964,EEE111L,42,2018-12-14 16:09:49,1
697090,191,1410964,EEE141,42,2019-01-03 23:21:46,1
646368,191,1410964,PHI104,42,2018-12-14 16:08:10,1
701623,191,1410964,PHY108L,42,2019-01-07 01:10:57,1
675022,191,1411011,CHE101,42,2018-12-23 21:44:05,1
602005,191,1411011,CSE231,42,2018-12-02 21:10:14,1
602006,191,1411011,CSE231L,42,2018-12-02 21:10:14,1
617193,191,1411011,CSE311,42,2018-12-05 23:08:31,1
690004,191,1411011,CSE311L,42,2019-01-01 19:04:58,1
705409,191,1411011,PHY107,42,2019-01-11 20:30:18,1
705411,191,1411011,PHY107L,42,2019-01-11 20:30:26,1
703068,191,1411264,CHE101,42,2019-01-08 17:30:57,1
703069,191,1411264,CHE101L,42,2019-01-08 17:31:18,1
688493,191,1411264,CSE115,42,2018-12-31 18:51:34,1
688494,191,1411264,CSE115L,42,2018-12-31 18:52:05,1
692819,191,1411264,CSE231,42,2019-01-02 23:26:42,1
692820,191,1411264,CSE231L,42,2019-01-02 23:26:42,1
688495,191,1411264,MAT120,42,2018-12-31 18:52:48,1
688497,191,1411264,MAT130,42,2018-12-31 18:54:10,1
608216,191,1411377,CHE101,42,2018-12-04 05:42:19,1
610874,191,1411377,CSE231,42,2018-12-04 21:13:31,1
610875,191,1411377,CSE231L,42,2018-12-04 21:13:31,1
696128,191,1411377,ECO101,42,2019-01-03 20:36:42,1
608215,191,1411377,ENG103,42,2018-12-04 05:42:00,1
688920,191,1411377,PHY108,42,2019-01-01 05:44:11,1
700701,191,1420091,CSE231,42,2019-01-06 09:56:54,1
700702,191,1420091,CSE231L,42,2019-01-06 09:56:54,1
705699,191,1420091,EEE141,42,2019-01-12 20:34:58,1
705700,191,1420091,EEE141L,42,2019-01-12 20:35:24,1
700703,191,1420091,PHI104,42,2019-01-06 09:57:40,1
700704,191,1420091,PHY107,42,2019-01-06 09:57:56,1
